(6.123233995736765*10^{-16}, -9.999999999999998, -2.0000000000000004)
(0.005005085427874986, -9.897399007820226, -2.003423041815557)
(0.010010121020049511, -9.794906169412453, -2.006867546718506)
(0.015015161351400763, -9.692523254705163, -2.0103341334630325)
(0.020020263975946737, -9.590252068007016, -2.013823442157733)
(0.025025489573580695, -9.488094448444896, -2.0173361350710715)
(0.03003090210368702, -9.38605227037301, -2.0208728974652077)
(0.035036568965892516, -9.284127443748318, -2.0244344384587216)
(0.04004256116824771, -9.182321914467165, -2.02802149191841)
(0.04504895350304315, -9.080637664657413, -2.0316348173805037)
(0.05005582473053025, -8.97907671291977, -2.0352752010012334)
(0.055063257770790214, -8.877641114511317, -2.0389434565366917)
(0.06007133990393435, -8.776332961463632, -2.0426404263516647)
(0.0650801629788807, -8.675154382626994, -2.0463669824568664)
(0.07008982363083828, -8.574107543631367, -2.050124027573818)
(0.07510042350766996, -8.473194646753885, -2.053912496226135)
(0.08011206950523231, -8.372417930681568, -2.057733355855805)
(0.08512487401172784, -8.271779670156787, -2.061587607962451)
(0.0901389551610917, -8.171282175491864, -2.065476289263176)
(0.09515443709534381, -8.070927791937773, -2.0694004728699738)
(0.10017145023569643, -7.970718898890411, -2.0733612694810284)
(0.10519013156223601, -7.870657908916394, -2.0773598285814363)
(0.1102106249017514, -7.770747266578465, -2.081397339648116)
(0.11523308122319624, -7.670989447038732, -2.08547503335251)
(0.1202576589401198, -7.571386954415873, -2.0895941827536784)
(0.1252845242192042, -7.471942319870144, -2.093756104472973)
(0.1303138512937762, -7.37265809938759, -2.0979621598400446)
(0.13534582278096757, -7.27353687123209, -2.1022137559981724)
(0.14038063000083514, -7.17458123303105, -2.1065123469549927)
(0.1454184732954444, -7.075793798457355, -2.1108594345624407)
(0.15045956234547514, -6.977177193466737, -2.1152565694072076)
(0.15550411648145038, -6.878734052046081, -2.119705351590148)
(0.16055236498615738, -6.78046701142421, -2.124207431369763)
(0.165604547384164, -6.682378706692353, -2.128764509641181)
(0.17066091371363418, -6.584471764776978, -2.1333783382178826)
(0.17572172477481107, -6.486748797702733, -2.1380507198785845)
